ID,STNNBR,CASTNO,SAMPNO,DATE,TIME,lat,long,press,O2,FLOR,NOx,NOx_STD,NO2,PO4,NH4,PH_TOT,Iodate,Iodide,Total_I,NO3,Abs sal,Consv temp,pdens
1101,1,1,1,6/30/2018,6:30:11,13.99756,-101.99646,1007.273,10.023,0.0305,42.6238588,0.007074625,0,3.713900862,0,7.353685,556.4563923,73.10932867,629.565721,42.6238588,34.734,4.4402,27.399
1102,1,1,2,6/30/2018,6:30:11,13.99696,-101.99638,761.228,2.048,0.0289,39.71125152,1.104664613,0,3.670797414,0,7.337197,420.9882805,98.19318998,519.1814705,39.71125152,34.723,5.5794,27.258
1103,1,1,3,6/30/2018,6:30:11,13.99666,-101.99637,674.359,1.936,0.0216,37.24925061,0.924901401,0,3.439116379,0,7.338867,0,382.0614837,382.0614837,37.24925061,34.734,6.1718,27.192
1104,1,1,4,6/30/2018,6:30:11,13.99634,-101.99632,575.667,1.906,0.018,33.8503465,0.194726477,0.363868225,3.390625,0,7.348678,0,430.1648513,430.1648513,33.48647828,34.74,6.9091,27.099
1105,1,1,5,6/30/2018,6:30:11,13.9959,-101.99632,475.147,1.814,0.0238,27.69798114,0.023694228,0.495642933,4.155711207,0,7.3635345,21.39739448,525.397834,546.7952285,27.20233821,34.762,8.0606,26.951
1106,1,1,6,6/30/2018,6:30:11,13.99568,-101.99632,399.99,1.739,0.0282,24.04255278,0.05239892,0.733687566,3.379849138,0,7.371854,18.40011746,533.4605037,551.8606212,23.30886521,34.803,9.0865,26.823
1107,1,1,7,6/30/2018,6:30:11,13.9953,-101.99648,341.438,1.698,0.0304,25.43898037,0.178732762,0.786822529,3.476831897,0,7.380199,23.99823807,507.4418401,531.4400782,24.65215784,34.843,9.9443,26.713
1108,1,1,8,6/30/2018,6:30:11,13.99502,-101.9967,301.458,1.66,0.0326,26.79845902,0.173309684,1.384059511,2.932650862,0,7.391718,18.25796204,552.1175993,570.3755613,25.41439951,34.88,10.603,26.628
1109,1,1,9,6/30/2018,6:30:11,13.99476,-101.99682,258.499,1.68,0.0316,22.24675386,0.051142104,1.896280553,2.814116379,0,7.399581,18.00168184,558.7001654,576.7018472,20.35047331,34.907,11.178,26.545
1110,1,1,10,6/30/2018,6:30:11,13.9945,-101.99692,226.427,1.591,0.0324,23.74312003,0.146841767,1.713496281,2.684806034,0,7.4145,21.98203369,604.8949783,626.877012,22.02962375,34.938,11.743,26.464
1112,1,1,12,6/30/2018,6:30:11,13.99394,-101.99686,194.839,1.581,0.0315,28.44157312,0.561535366,0.076939426,2.577047414,0,7.43068,2.324541499,553.0913517,555.4158932,28.36463369,34.969,12.319,26.378
1113,1,1,13,6/30/2018,6:30:11,13.99382,-101.99672,178.919,1.569,0.0321,27.62894341,0.398119051,0.036344315,2.722521552,0,7.438127,12.09322192,584.2999379,596.3931598,27.5925991,34.982,12.553,26.342
1114,1,1,14,6/30/2018,6:30:11,13.99372,-101.99664,169.649,1.57,0.0343,27.80273674,0.191791092,0,2.657866379,0.506596819,7.438027,4.925385088,586.6367977,591.5621828,27.80273674,34.984,12.73,26.309
1115,1,1,15,6/30/2018,6:30:11,13.9936,-101.99652,159.94,1.551,0.0366,28.09108335,0.299735614,0.221466525,3.272090517,0,7.441085,0,599.978143,599.978143,27.86961683,34.986,12.883,26.28
